threshold,precision,recall,f1,accuracy
0.1,0.30113636363636365,0.9919786096256684,0.46201743462017436,0.38679914833215046
0.11,0.30477759472817134,0.9893048128342246,0.4659949622166247,0.39815471965933286
0.12000000000000001,0.31139240506329113,0.9866310160427807,0.4733803720333547,0.41731724627395317
0.13,0.3161512027491409,0.983957219251337,0.47854356306892065,0.43080198722498225
0.14,0.3204903677758319,0.9786096256684492,0.48284960422163586,0.44357700496806246
0.15000000000000002,0.3255605381165919,0.9705882352941176,0.48757555406312963,0.45848119233498935
0.16,0.3315018315018315,0.9679144385026738,0.49386084583901774,0.47338537970191624
0.17,0.33773584905660375,0.9572192513368984,0.499302649930265,0.49041873669268987
0.18,0.3423336547733848,0.9491978609625669,0.5031892274982283,0.5024840312278211
0.19,0.3464180569185476,0.9438502673796791,0.5068198133524767,0.5124201561391057
0.2,0.353,0.9438502673796791,0.5138282387190685,0.5259048970901349
0.21000000000000002,0.3558974358974359,0.9278074866310161,0.514455151964418,0.5351312987934705
0.22,0.36143308746048475,0.9171122994652406,0.5185185185185185,0.5479063165365508
0.23,0.3691639522258415,0.9090909090909091,0.525096525096525,0.5635202271114266
0.24000000000000002,0.3737596471885336,0.9064171122994652,0.5292740046838408,0.5720369056068133
0.25,0.38192090395480227,0.9037433155080213,0.5369340746624305,0.5862313697657914
0.26,0.3873563218390805,0.9010695187165776,0.5418006430868167,0.595457771469127
0.27,0.39622641509433965,0.8983957219251337,0.5499181669394435,0.609652235628105
0.28,0.39832535885167464,0.8903743315508021,0.5504132231404959,0.6139105748757985
0.29000000000000004,0.40340218712029163,0.8877005347593583,0.5547201336675021,0.6217175301632364
0.30000000000000004,0.40763546798029554,0.8850267379679144,0.5581787521079258,0.6281050390347764
0.31,0.4107365792759051,0.8796791443850267,0.56,0.6330731014904187
0.32,0.41687979539641945,0.8716577540106952,0.5640138408304498,0.6422995031937544
0.33,0.4204993429697766,0.8556149732620321,0.5638766519823789,0.6486870120652946
0.33999999999999997,0.42587601078167114,0.8449197860962567,0.5663082437275986,0.6564939673527325
0.35,0.43191196698762035,0.839572192513369,0.5703905540417802,0.6643009226401704
0.36,0.43478260869565216,0.8288770053475936,0.5703771849126035,0.6685592618878637
0.37,0.43937232524964337,0.8235294117647058,0.5730232558139535,0.674237047551455
0.38,0.4407514450867052,0.8155080213903744,0.5722326454033771,0.6763662171753017
0.39,0.44281524926686217,0.8074866310160428,0.571969696969697,0.6792051100070973
0.4,0.44879518072289154,0.7967914438502673,0.5741811175337187,0.6863023420865862
0.41000000000000003,0.4510703363914373,0.7887700534759359,0.5739299610894941,0.6891412349183819
0.42000000000000004,0.45440494590417313,0.786096256684492,0.5759059745347699,0.6926898509581263
0.43000000000000005,0.4582677165354331,0.7780748663101604,0.576808721506442,0.6969481902058198
0.44000000000000006,0.46601941747572817,0.7700534759358288,0.5806451612903226,0.7047551454932577
0.45000000000000007,0.47254575707154745,0.7593582887700535,0.5825641025641025,0.7111426543647977
0.45999999999999996,0.47651006711409394,0.7593582887700535,0.5855670103092784,0.7146912704045423
0.47,0.47855917667238423,0.7459893048128342,0.5830721003134797,0.716820440028389
0.48,0.4850615114235501,0.7379679144385026,0.5853658536585366,0.7224982256919801
0.49,0.48300536672629696,0.7219251336898396,0.5787781350482315,0.7210787792760823
0.5,0.48545454545454547,0.713903743315508,0.577922077922078,0.723207948899929
0.51,0.49074074074074076,0.7085561497326203,0.5798687089715536,0.7274662881476224
0.52,0.4990512333965844,0.7032085561497327,0.5837957824639289,0.7338537970191625
0.53,0.5009596928982726,0.6978609625668449,0.5832402234636872,0.7352732434350603
0.54,0.505859375,0.6925133689839572,0.5846501128668171,0.7388218594748048
0.55,0.51,0.6818181818181818,0.5835240274599542,0.7416607523066004
0.56,0.5163265306122449,0.6764705882352942,0.5856481481481481,0.7459190915542938
0.5700000000000001,0.5221052631578947,0.6631016042780749,0.5842167255594818,0.7494677075940384
0.58,0.5248380129589633,0.6497326203208557,0.5806451612903226,0.7508871540099361
0.59,0.5309734513274337,0.6417112299465241,0.5811138014527845,0.7544357700496807
0.6,0.5349887133182845,0.6336898395721925,0.5801713586291309,0.7565649396735273
0.61,0.5354691075514875,0.6256684491978609,0.5770653514180024,0.7565649396735273
0.62,0.5395348837209303,0.6203208556149733,0.5771144278606966,0.758694109297374
0.63,0.542654028436019,0.6122994652406417,0.5753768844221105,0.7601135557132718
0.64,0.5517241379310345,0.5989304812834224,0.5743589743589743,0.7643718949609652
0.65,0.5577889447236181,0.5935828877005348,0.5751295336787565,0.7672107877927609
0.66,0.5621761658031088,0.5802139037433155,0.5710526315789474,0.7686302342086586
0.67,0.5625,0.553475935828877,0.5579514824797843,0.7672107877927609
0.6799999999999999,0.5734463276836158,0.5427807486631016,0.5576923076923077,0.7714691270404542
0.69,0.5870206489675516,0.5320855614973262,0.5582047685834503,0.7764371894960965
0.7,0.599388379204893,0.5240641711229946,0.5592011412268189,0.7806955287437899
0.71,0.6148867313915858,0.5080213903743316,0.5563689604685212,0.7849538679914834
0.72,0.6317567567567568,0.5,0.5582089552238806,0.7899219304471257
0.73,0.6418439716312057,0.4839572192513369,0.551829268292683,0.7913413768630234
0.74,0.6428571428571429,0.4572192513368984,0.534375,0.7885024840312278
0.75,0.6707317073170732,0.4411764705882353,0.532258064516129,0.794180269694819
0.76,0.6767241379310345,0.4197860962566845,0.5181518151815182,0.7927608232789212
0.77,0.6912442396313364,0.40106951871657753,0.5076142131979695,0.7934705464868701
0.78,0.6911764705882353,0.3770053475935829,0.48788927335640137,0.7899219304471257
0.79,0.6885245901639344,0.33689839572192515,0.4524236983842011,0.7835344215755855
0.8,0.6882352941176471,0.31283422459893045,0.43014705882352944,0.7799858055358411
0.8099999999999999,0.6967741935483871,0.2887700534759358,0.40831758034026466,0.7778566359119943
0.82,0.7153846153846154,0.24866310160427807,0.36904761904761907,0.7743080198722498
0.83,0.7053571428571429,0.21122994652406418,0.32510288065843623,0.7672107877927609
0.84,0.7272727272727273,0.1497326203208556,0.24833702882483372,0.759403832505323
0.85,0.7586206896551724,0.11764705882352941,0.2037037037037037,0.7558552164655784
0.86,0.8108108108108109,0.08021390374331551,0.145985401459854,0.7508871540099361
0.87,0.84,0.05614973262032086,0.10526315789473684,0.7466288147622427
0.88,1.0,0.029411764705882353,0.05714285714285714,0.7423704755145494
0.89,1.0,0.01871657754010695,0.03674540682414698,0.7395315826827538
0.9,0.0,0.0,0.0,0.7345635202271115
